smiles,D,D_pred
C1C23C4C15C41C2C351,13.60624214266669,13.60624214266669
C12C34C5C13C254,12.913990721862536,12.913990721862536
CC12C3C14CC324,12.831600671157576,12.831600671157576
C1C23C4C5C12C453,12.567132164830326,12.567132164830326
C1C23C4C2C143,12.273792894697117,12.273792894697117
C12C34C5C16C23C546,12.030927449324857,12.030927449324857
CC1C23C4C2C143,11.35432573313248,11.35432573313248
C12C34C5C16C51C23C461,11.26041212822162,11.26041212822162
C1C2C3CC123,11.23149816187332,11.23149816187332
C1C23C4N2C143,11.167274779504964,11.167274779504964
C1C23C4N5C12C453,11.141412473791538,11.141412473791538
C1C2C3N4C1C234,11.124724592886642,11.124724592886642
C1N2C3C14CC324,11.124052639523468,11.124052639523468
C1#CC#C1,11.0110450676963,11.0110450676963
C1C2C13C1NC213,10.870552080737678,10.870552080737678
CC1C23C4N2C143,10.62935831652318,10.62935831652318
C1C2C34C5C13C254,13.96600405227841,13.96600405227841
C1C2C34C5C16C23C564,13.400972123187188,13.400972123187188
C1CC23C4C2C143,13.190921642346378,13.190921642346378
F[SH]1PCCC23C4C25CC43C15,11.028690434975015,11.028690434975015
C1N2CC34C5C13CC524,11.56994871616918,11.56994871616918
C12C3N1N23,11.324067534318596,11.324067534318596
C12C3C14C1C35C2C145,10.751025111614178,10.751025111614178
